Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.6238299417341384,0.6238299417341384
2,0.15089146115610386,0.7747214028902423
3,0.08804355366676402,0.8627649565570062
4,0.04747453471180238,0.9102394912688087
5,0.02982478537883367,0.9400642766476424
6,0.024201923811798916,0.9642662004594412
7,0.021634082811443765,0.985900283270885
8,0.011912917073533208,0.9978132003444182
9,0.002186799655581818,1.0
