name,team,cluster_label
Erik Brannstrom,OTT,Defensive Minded
Keegan Kolesar,VGK,Bruiser
James Hamblin,EDM,Support Player
Tyler Johnson,CHI,Defensive Minded
Owen Tippett,PHI,Offensive All Star
Gabriel Carlsson,WSH,Support Player
Jakub Lauko,BOS,Support Player
Aleksi Heponiemi,FLA,Support Player
Alex Goligoski,MIN,Support Player
Nino Niederreiter,WPG,Offensive All Star
Vincent Iorio,WSH,Support Player
Pierre-Olivier Joseph,PIT,Bruiser
Mason Shaw,MIN,Bruiser
Luke Kunin,SJS,Support Player
Brandon Montour,FLA,Offensive All Star
Connor McMichael,WSH,Support Player
Liam O'Brien,ARI,Bruiser
Simon Holmstrom,NYI,Support Player
Andrew Agozzino,SJS,Support Player
Lane Pederson,CBJ,Support Player
Filip Roos,CHI,Support Player
Sam Lafferty,TOR,Defensive Minded
Joe Veleno,DET,Defensive Minded
Austin Watson,OTT,Bruiser
Artem Zub,OTT,Bruiser
Brendan Lemieux,PHI,Bruiser
Robin Salo,NYI,Support Player
Olli Maatta,DET,Defensive Minded
Jacob Moverare,LAK,Support Player
Tyce Thompson,NJD,Support Player
Nikita Zaitsev,CHI,Support Player
Patrik Nemeth,ARI,Bruiser
Cam Fowler,ANA,Defensive Minded
Zach Hyman,EDM,Offensive All Star
Kaiden Guhle,MTL,Defensive Minded
Nolan Foote,NJD,Support Player
J.J. Moser,ARI,Defensive Minded
Zach Parise,NYI,Defensive Minded
John Leonard,NSH,Support Player
Chad Ruhwedel,PIT,Support Player
Haydn Fleury,TBL,Support Player
Tanner Jeannot,TBL,Bruiser
Riley Sheahan,BUF,Support Player
Luke Hughes,NJD,Support Player
Dysin Mayo,ARI,Support Player
Mattias Janmark,EDM,Defensive Minded
Owen Beck,MTL,Support Player
Jason Robertson,DAL,Offensive All Star
Jonny Brodzinski,NYR,Support Player
Givani Smith,FLA,Support Player
Jalen Chatfield,CAR,Defensive Minded
Matt Duchene,NSH,Offensive All Star
Teuvo Teravainen,CAR,Defensive Minded
Dylan DeMelo,WPG,Bruiser
Jamie Benn,DAL,Offensive All Star
Callahan Burke,COL,Support Player
Pavel Zacha,BOS,Offensive All Star
Seth Jones,CHI,Defensive Minded
Jonas Rondbjerg,VGK,Support Player
Justin Danforth,CBJ,Support Player
Nic Petan,MIN,Support Player
Rafael Harvey-Pinard,MTL,Defensive Minded
Dillon Heatherington,OTT,Support Player
Thomas Bordeleau,SJS,Support Player
T.J. Oshie,WSH,Bruiser
Jayson Megna,ANA,Support Player
Jordan Spence,LAK,Support Player
Sidney Crosby,PIT,Offensive All Star
Conor Timmins,TOR,Support Player
Ryan Pulock,NYI,Defensive Minded
Anders Bjork,CHI,Support Player
Eetu Luostarinen,FLA,Offensive All Star
Cale Makar,COL,Offensive All Star
Seth Jarvis,CAR,Defensive Minded
Oskar Olausson,COL,Support Player
Philippe Myers,TBL,Support Player
Grigori Denisenko,FLA,Support Player
Ryan Lindgren,NYR,Defensive Minded
Jack Studnicka,VAN,Defensive Minded
Anders Lee,NYI,Offensive All Star
Ben Chiarot,DET,Bruiser
Anthony Mantha,WSH,Defensive Minded
Nikita Alexandrov,STL,Support Player
Danil Gushchin,SJS,Support Player
Connor Carrick,BOS,Support Player
Mikael Granlund,PIT,Defensive Minded
Kevin Hayes,PHI,Offensive All Star
Milan Lucic,CGY,Bruiser
Eric Robinson,CBJ,Defensive Minded
Gustav Olofsson,SEA,Support Player
Jimmy Vesey,NYR,Defensive Minded
Jakub Voracek,CBJ,Support Player
Adam Erne,DET,Bruiser
Kirby Dach,MTL,Defensive Minded
Taro Hirose,DET,Support Player
Cole Caufield,MTL,Defensive Minded
Jake Bean,CBJ,Support Player
Eeli Tolvanen,SEA,Defensive Minded
Tyler Toffoli,CGY,Offensive All Star
Blake Wheeler,WPG,Offensive All Star
Jakob Pelletier,CGY,Support Player
J.T. Compher,COL,Offensive All Star
Jean-Gabriel Pageau,NYI,Defensive Minded
Samuel Bolduc,NYI,Support Player
Jake Sanderson,OTT,Defensive Minded
Jesperi Kotkaniemi,CAR,Offensive All Star
Brad Malone,EDM,Support Player
Jake Guentzel,PIT,Offensive All Star
Mike Hardman,CHI,Support Player
Cole Sillinger,CBJ,Defensive Minded
Sean Monahan,MTL,Support Player
David Perron,DET,Offensive All Star
Ross Colton,TBL,Bruiser
Nikita Okhotiuk,NJD,Support Player
Jack Roslovic,CBJ,Offensive All Star
Jared McCann,SEA,Offensive All Star
Matt Martin,NYI,Bruiser
Brandt Clarke,LAK,Support Player
Jaden Schwartz,SEA,Defensive Minded
Patrick Kane,NYR,Offensive All Star
Dylan Guenther,ARI,Support Player
Derrick Pouliot,SJS,Support Player
Trevor Lewis,CGY,Defensive Minded
Alec Regula,CHI,Support Player
Denis Gurianov,MTL,Defensive Minded
Josh Manson,COL,Defensive Minded
Lucas Carlsson,FLA,Support Player
Tyson Barrie,NSH,Defensive Minded
Nick Seeler,PHI,Bruiser
Clayton Keller,ARI,Offensive All Star
Dylan Strome,WSH,Offensive All Star
Torey Krug,STL,Defensive Minded
Milos Kelemen,ARI,Support Player
Carson Meyer,CBJ,Support Player
Jeremy Davies,BUF,Support Player
Noah Gregor,SJS,Defensive Minded
Laurent Dauphin,ARI,Support Player
Markus Niemelainen,EDM,Support Player
Joel Farabee,PHI,Offensive All Star
Patrick Brown,OTT,Bruiser
TJ Brodie,TOR,Defensive Minded
Jaccob Slavin,CAR,Offensive All Star
Peyton Krebs,BUF,Defensive Minded
Nicolas Aube-Kubel,WSH,Bruiser
Jake Christiansen,CBJ,Support Player
Filip Hronek,VAN,Defensive Minded
Andrew Cogliano,COL,Defensive Minded
Austin Strand,ANA,Support Player
Vasily Podkolzin,VAN,Support Player
Mats Zuccarello,MIN,Offensive All Star
Teddy Blueger,VGK,Defensive Minded
Mark Giordano,TOR,Bruiser
Jake McCabe,TOR,Bruiser
Emil Bemstrom,CBJ,Defensive Minded
Curtis Lazar,NJD,Defensive Minded
Nicholas Paul,TBL,Offensive All Star
Guillaume Brisebois,VAN,Support Player
Ivan Barbashev,VGK,Offensive All Star
Tristen Robins,SJS,Support Player
Ty Dellandrea,DAL,Bruiser
Jeff Carter,PIT,Defensive Minded
Colton Sissons,NSH,Defensive Minded
Logan Couture,SJS,Offensive All Star
Sam Bennett,FLA,Offensive All Star
David Gust,CHI,Support Player
Jacob Lucchini,OTT,Support Player
Nathan MacKinnon,COL,Offensive All Star
Jack Quinn,BUF,Defensive Minded
Tomas Hertl,SJS,Offensive All Star
Jake Middleton,MIN,Bruiser
Sam Gagner,WPG,Support Player
Anze Kopitar,LAK,Offensive All Star
Austin Wagner,CHI,Support Player
Byron Froese,VGK,Support Player
Chris Kreider,NYR,Offensive All Star
Mark Borowiecki,NSH,Support Player
Kale Clague,BUF,Support Player
Mathew Barzal,NYI,Offensive All Star
Sonny Milano,WSH,Defensive Minded
Andreas Englund,CHI,Bruiser
Mikhail Sergachev,TBL,Offensive All Star
Jordan Greenway,BUF,Defensive Minded
Jack Eichel,VGK,Offensive All Star
Nico Hischier,NJD,Offensive All Star
Shea Theodore,VGK,Defensive Minded
Tim Sttzle,OTT,Offensive All Star
Brady Tkachuk,OTT,Offensive All Star
Tyler Seguin,DAL,Offensive All Star
Logan Stanley,WPG,Support Player
Cole Bardreau,NYI,Support Player
Henry Thrun,SJS,Support Player
Kyle Clifford,TOR,Support Player
Nikita Soshnikov,NYI,Support Player
Cal Clutterbuck,NYI,Bruiser
Pius Suter,DET,Defensive Minded
Rasmus Kupari,LAK,Defensive Minded
Jaycob Megna,SEA,Defensive Minded
Nick Suzuki,MTL,Offensive All Star
Lucas Raymond,DET,Defensive Minded
Noah Cates,PHI,Defensive Minded
Hunter McKown,CBJ,Support Player
Miro Heiskanen,DAL,Offensive All Star
Nazem Kadri,CGY,Offensive All Star
Jack Hughes,NJD,Offensive All Star
Pierre-Luc Dubois,WPG,Offensive All Star
Pavol Regenda,ANA,Support Player
Trevor Zegras,ANA,Offensive All Star
Walker Duehr,CGY,Support Player
Vladislav Gavrikov,LAK,Defensive Minded
Lukas Sedlak,PHI,Support Player
Martin Fehervary,WSH,Bruiser
Shane Pinto,OTT,Offensive All Star
Jordan Eberle,SEA,Offensive All Star
Moritz Seider,DET,Bruiser
Jakob Silfverberg,ANA,Defensive Minded
Evan Rodrigues,COL,Defensive Minded
Joona Luoto,CBJ,Support Player
Jacob MacDonald,SJS,Defensive Minded
Matej Blumel,DAL,Support Player
Vladimir Tarasenko,NYR,Defensive Minded
Gabriel Vilardi,LAK,Defensive Minded
Julien Gauthier,OTT,Defensive Minded
Anton Blidh,COL,Support Player
Colton White,ANA,Support Player
Cale Fleury,SEA,Support Player
Dylan Gambrell,OTT,Defensive Minded
Josh Dunne,CBJ,Support Player
Cam York,PHI,Defensive Minded
Charles Hudon,COL,Support Player
Brendan Gallagher,MTL,Defensive Minded
Juuso Valimaki,ARI,Bruiser
Jeff Skinner,BUF,Offensive All Star
Bowen Byram,COL,Defensive Minded
Oskar Lindblom,SJS,Defensive Minded
Vinnie Hinostroza,BUF,Support Player
Adam Larsson,SEA,Bruiser
Wyatt Kaiser,CHI,Support Player
Rasmus Asplund,NSH,Support Player
Ross Johnston,NYI,Support Player
Neal Pionk,WPG,Bruiser
Tyler Pitlick,STL,Defensive Minded
Matt Roy,LAK,Defensive Minded
