name,team,cluster_label
Brendan Smith,NJD,Bruiser
Ryan McDonagh,NSH,Defensive Minded
Fabian Zetterlund,SJS,Defensive Minded
Vincent Desharnais,EDM,Support Player
Vince Dunn,SEA,Offensive All Star
Nikita Nesterenko,ANA,Support Player
Brent Burns,CAR,Offensive All Star
Jack McBain,ARI,Bruiser
Oliver Wahlstrom,NYI,Defensive Minded
Roman Josi,NSH,Offensive All Star
William Eklund,SJS,Support Player
Ethan Bear,VAN,Defensive Minded
Derick Brassard,OTT,Defensive Minded
Darren Helm,COL,Support Player
Matt Luff,DET,Support Player
Nick Bjugstad,EDM,Offensive All Star
Quinton Byfield,LAK,Defensive Minded
Mikael Backlund,CGY,Offensive All Star
Chris Wideman,MTL,Defensive Minded
Joel Armia,MTL,Defensive Minded
Tyler Motte,NYR,Defensive Minded
Yegor Sharangovich,NJD,Defensive Minded
Aatu Raty,VAN,Support Player
Brock Boeser,VAN,Defensive Minded
Benoit-Olivier Groulx,ANA,Support Player
Cole McWard,VAN,Support Player
Erik Gudbranson,CBJ,Bruiser
Travis Sanheim,PHI,Defensive Minded
Ronnie Attard,PHI,Support Player
Thomas Chabot,OTT,Bruiser
Jamie Oleksiak,SEA,Bruiser
Kris Letang,PIT,Bruiser
Wayne Simmonds,TOR,Support Player
Brandon Tanev,SEA,Bruiser
Alexander Holtz,NJD,Support Player
Nick Ritchie,CGY,Bruiser
K'Andre Miller,NYR,Offensive All Star
Andreas Athanasiou,CHI,Offensive All Star
Parker Kelly,OTT,Bruiser
Marcus Pettersson,PIT,Bruiser
Mika Zibanejad,NYR,Offensive All Star
Axel Jonsson-Fjallby,WPG,Defensive Minded
William Karlsson,VGK,Offensive All Star
Nic Dowd,WSH,Defensive Minded
Tanner Laczynski,PHI,Support Player
Josh Brown,ARI,Bruiser
Michael McLeod,NJD,Offensive All Star
Ryan Donato,SEA,Defensive Minded
Ridly Greig,OTT,Support Player
Parker Wotherspoon,NYI,Support Player
Joseph Cramarossa,MIN,Support Player
Brandon Saad,STL,Defensive Minded
Gabriel Fortier,TBL,Support Player
Brad Marchand,BOS,Offensive All Star
Nils Aman,VAN,Defensive Minded
Jason Dickinson,CHI,Offensive All Star
Jan Rutta,PIT,Defensive Minded
Lassi Thomson,OTT,Support Player
Jacob Bryson,BUF,Support Player
Aliaksei Protas,WSH,Defensive Minded
Nathan Beaulieu,ANA,Support Player
Adrian Kempe,LAK,Offensive All Star
Paul Stastny,CAR,Defensive Minded
Cody Glass,NSH,Defensive Minded
Beck Malenstyn,WSH,Support Player
Roope Hintz,DAL,Offensive All Star
Nick Schmaltz,ARI,Offensive All Star
Max Domi,DAL,Offensive All Star
Jesper Bratt,NJD,Offensive All Star
Connor Murphy,CHI,Bruiser
Kirill Kaprizov,MIN,Offensive All Star
Alex Nylander,PIT,Support Player
Kyle Criscuolo,SJS,Support Player
Aleksander Barkov,FLA,Offensive All Star
Connor Mackey,ARI,Defensive Minded
Libor Hajek,NYR,Support Player
Justin Faulk,STL,Offensive All Star
Noah Juulsen,VAN,Support Player
Henri Jokiharju,BUF,Defensive Minded
Mattias Samuelsson,BUF,Defensive Minded
Quinn Hughes,VAN,Offensive All Star
Artemi Panarin,NYR,Offensive All Star
Nick Swaney,MIN,Support Player
Jordan Oesterle,DET,Support Player
Dan Renouf,BOS,Support Player
MacKenzie Weegar,CGY,Bruiser
Michael Stone,CGY,Defensive Minded
Alex Newhook,COL,Defensive Minded
Travis Hamonic,OTT,Bruiser
Tony DeAngelo,PHI,Defensive Minded
Pierre-Edouard Bellemare,TBL,Defensive Minded
Sean Kuraly,CBJ,Bruiser
Patric Hornqvist,FLA,Support Player
Marcus Foligno,MIN,Bruiser
Kristian Reichel,WPG,Support Player
Brett Leason,ANA,Support Player
Drew Doughty,LAK,Defensive Minded
Drake Batherson,OTT,Offensive All Star
Trevor Moore,LAK,Defensive Minded
Kailer Yamamoto,EDM,Defensive Minded
Filip Zadina,DET,Support Player
Matt Kiersted,FLA,Support Player
Brandon Hagel,TBL,Offensive All Star
Cole Smith,NSH,Bruiser
Colin Miller,DAL,Bruiser
Matt Nieto,COL,Defensive Minded
Tyler Tucker,STL,Support Player
Calle Rosen,STL,Defensive Minded
Adam Lowry,WPG,Offensive All Star
Conor Garland,VAN,Offensive All Star
Jaret Anderson-Dolan,LAK,Support Player
Boone Jenner,CBJ,Offensive All Star
Anthony Cirelli,TBL,Defensive Minded
Tyson Jost,BUF,Defensive Minded
Kiefer Sherwood,NSH,Defensive Minded
Owen Power,BUF,Defensive Minded
Nikita Kucherov,TBL,Offensive All Star
A.J. Greer,BOS,Bruiser
Lucas Johansen,WSH,Support Player
Steven Lorentz,SJS,Defensive Minded
Connor Clifton,BOS,Bruiser
Ville Heinola,WPG,Support Player
Saku Maenalanen,WPG,Defensive Minded
Rasmus Dahlin,BUF,Offensive All Star
Noah Dobson,NYI,Offensive All Star
David Jiricek,CBJ,Support Player
Logan Brown,STL,Support Player
Shayne Gostisbehere,CAR,Defensive Minded
Lias Andersson,LAK,Support Player
Cody Ceci,EDM,Bruiser
Christian Fischer,ARI,Defensive Minded
Adam Pelech,NYI,Defensive Minded
Caleb Jones,CHI,Bruiser
Brandon Carlo,BOS,Bruiser
Steven Santini,STL,Support Player
Kyle Capobianco,WPG,Support Player
Alex Barr-Boulet,TBL,Support Player
Nick Abruzzese,TOR,Support Player
Billy Sweezey,CBJ,Support Player
Filip Chytil,NYR,Offensive All Star
Zach Aston-Reese,TOR,Bruiser
Robert Hagg,DET,Defensive Minded
Travis Konecny,PHI,Offensive All Star
Jujhar Khaira,CHI,Defensive Minded
Nick Cousins,FLA,Defensive Minded
Pontus Holmberg,TOR,Support Player
Tomas Nosek,BOS,Defensive Minded
Steven Stamkos,TBL,Offensive All Star
Connor Brown,WSH,Support Player
Alexis Lafrenire,NYR,Offensive All Star
Mikhail Maltsev,COL,Support Player
Semyon Der-Arguchintsev,TOR,Support Player
Jesper Fast,CAR,Defensive Minded
Radek Faksa,DAL,Defensive Minded
Olle Lycksell,PHI,Support Player
Pat Maroon,TBL,Bruiser
Nick Foligno,BOS,Bruiser
Marian Studenic,DAL,Support Player
Jon Merrill,MIN,Defensive Minded
Zach Whitecloud,VGK,Defensive Minded
Michael McCarron,NSH,Support Player
Vladislav Namestnikov,WPG,Defensive Minded
Filip Kral,TOR,Support Player
Brayden Pachal,VGK,Support Player
Jackson Cates,PHI,Support Player
Tanner Pearson,VAN,Support Player
Nicklas Backstrom,WSH,Defensive Minded
Luke Evangelista,NSH,Support Player
Morgan Rielly,TOR,Defensive Minded
William Carrier,VGK,Defensive Minded
Sam Steel,MIN,Defensive Minded
Justin Schultz,SEA,Defensive Minded
Brock McGinn,ANA,Defensive Minded
Sheldon Dries,VAN,Defensive Minded
Dmitry Kulikov,PIT,Defensive Minded
Philip Tomasino,NSH,Support Player
Colton Parayko,STL,Bruiser
Chris Wagner,BOS,Support Player
Max Pacioretty,CAR,Support Player
Nathan Bastian,NJD,Defensive Minded
Jesse Puljujarvi,CAR,Bruiser
Nick Bonino,PIT,Defensive Minded
Jeff Petry,PIT,Bruiser
Mike Matheson,MTL,Defensive Minded
Christian Dvorak,MTL,Defensive Minded
Alexander Romanov,NYI,Bruiser
Jack Johnson,COL,Bruiser
Jonathan Marchessault,VGK,Offensive All Star
Derek Grant,ANA,Defensive Minded
Trevor van Riemsdyk,WSH,Defensive Minded
Mathieu Joseph,OTT,Defensive Minded
Evgenii Dadonov,DAL,Defensive Minded
Cole Koepke,TBL,Support Player
Roland McKeown,NSH,Support Player
Andreas Johnsson,SJS,Support Player
Esa Lindell,DAL,Defensive Minded
Nick Cicek,SJS,Support Player
Alex DeBrincat,OTT,Offensive All Star
Alex Belzile,MTL,Defensive Minded
Nils Lundkvist,DAL,Defensive Minded
Paul Cotter,VGK,Defensive Minded
Brayden Schenn,STL,Offensive All Star
Casey Fitzgerald,FLA,Support Player
Kurtis MacDermid,COL,Bruiser
Stefan Noesen,CAR,Defensive Minded
Brad Hunt,COL,Support Player
Ian Cole,TBL,Bruiser
Jake Walman,DET,Defensive Minded
Radim Simek,SJS,Defensive Minded
Zack MacEwen,LAK,Bruiser
Kyle Burroughs,VAN,Bruiser
Nick Holden,OTT,Defensive Minded
Samuel Walker,MIN,Support Player
Jacob Bernard-Docker,OTT,Support Player
Dryden Hunt,TOR,Support Player
Josh Leivo,STL,Defensive Minded
Joe Pavelski,DAL,Offensive All Star
Matias Maccelli,ARI,Defensive Minded
Mac Hollowell,TOR,Support Player
Casey Cizikas,NYI,Bruiser
Kevin Stenlund,WPG,Defensive Minded
Travis Dermott,VAN,Support Player
