playerId,I_F_goals,I_F_primaryAssists,I_F_points,I_F_shotsOnGoal,faceoffsWon,penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,PC1,PC2,cluster,cluster_label
8470621,6.0,4.0,12.0,80.0,0.0,65.0,45.0,28.0,23.0,0.7630451700361447,1.4840012041863495,0,Bruiser
8477839,11.0,11.0,26.0,133.0,11.0,20.0,52.0,39.0,27.0,2.1732328231481013,-0.6084441134968192,2,Offensive All Star
8479591,5.0,4.0,14.0,113.0,11.0,47.0,104.0,26.0,13.0,0.7476688797821921,1.5329976602454691,0,Bruiser
8479987,8.0,11.0,27.0,73.0,251.0,22.0,52.0,24.0,14.0,1.304204862906232,-0.9220267510046422,1,Defensive Minded
8480893,13.0,3.0,16.0,96.0,9.0,14.0,30.0,28.0,16.0,0.453253881275568,-0.7032930575244586,1,Defensive Minded
8481557,20.0,3.0,28.0,162.0,53.0,37.0,61.0,42.0,33.0,2.949540944781602,-0.07152887809927631,2,Offensive All Star
8483524,1.0,0.0,2.0,4.0,10.0,2.0,1.0,1.0,1.0,-2.8691674997565637,-0.6256808392754849,3,Support Player
8475857,0.0,1.0,1.0,17.0,0.0,4.0,21.0,2.0,12.0,-2.4355630327900633,-0.23220120987110618,3,Support Player
8482259,0.0,0.0,1.0,16.0,1.0,2.0,17.0,2.0,2.0,-2.7710532119882423,-0.372468147051618,3,Support Player
8478881,1.0,0.0,1.0,9.0,4.0,2.0,11.0,2.0,0.0,-2.8275878191540094,-0.4949449914754253,3,Support Player
8480011,11.0,6.0,19.0,56.0,4.0,56.0,157.0,12.0,15.0,0.9537980417866511,2.292627519305977,0,Bruiser
8478131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.082001930288063,-0.6178720121050824,3,Support Player
8479356,3.0,0.0,3.0,32.0,2.0,6.0,48.0,5.0,8.0,-2.0325517967923625,0.013425911016906657,3,Support Player
8475744,6.0,17.0,31.0,102.0,422.0,48.0,37.0,36.0,44.0,3.470456497291001,-0.7317517294013752,2,Offensive All Star
8476429,6.0,7.0,22.0,118.0,0.0,50.0,99.0,21.0,59.0,2.1644302899431285,1.669835415299129,0,Bruiser
8479346,13.0,12.0,37.0,111.0,26.0,35.0,115.0,20.0,19.0,2.3305965409896325,0.49728762750654715,2,Offensive All Star
8474573,8.0,8.0,21.0,63.0,34.0,2.0,11.0,17.0,39.0,0.4297374452412554,-1.222366973709458,1,Defensive Minded
8477505,7.0,11.0,25.0,72.0,452.0,14.0,39.0,57.0,21.0,2.3281926637036383,-1.9745635361549263,2,Offensive All Star
8477210,1.0,1.0,3.0,13.0,1.0,4.0,15.0,0.0,3.0,-2.615070660602823,-0.398206587735139,3,Support Player
8481186,7.0,11.0,23.0,92.0,1.0,37.0,107.0,35.0,20.0,1.7108177764108574,0.805994801348923,0,Bruiser
8481527,0.0,1.0,2.0,15.0,0.0,0.0,25.0,6.0,1.0,-2.595024228003077,-0.42779702726058577,3,Support Player
