Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.6633317618095667,0.6633317618095667
2,0.12778987143065262,0.7911216332402193
3,0.09669238102960696,0.8878140142698263
4,0.06157652179949894,0.9493905360693252
5,0.033644546817452825,0.983035082886778
6,0.016964917113221917,0.9999999999999999
7,1.579807579675732e-31,0.9999999999999999
